The analysed data contains the maximum valued pokemon in the respective type
Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
ptile,Virizion,SceptileMega Sceptile
Ho-oh,Entei,BlazikenMega Blaziken,Torkoal,CharizardMega Charizard Y,Ho-oh,Talonflame
KyogrePrimal Kyogre,Wailord,GyaradosMega Gyarados,SlowbroMega Slowbro,KyogrePrimal Kyogre,KyogrePrimal Kyogre,Greninja
PinsirMega Pinsir,Yanmega,HeracrossMega Heracross,Shuckle,Volcarona,Shuckle,Ninjask
Arceus,Blissey,Slaking,AudinoMega Audino,PidgeotMega Pidgeot,Blissey,LopunnyMega Lopunny
Crobat,Muk,Toxicroak,Weezing,Seviper,Dragalge,Crobat
AmpharosMega Ampharos,Zapdos,Electivire,Magnezone,AmpharosMega Ampharos,AmpharosMega Ampharos,Electrode
GroudonPrimal Groudon,Rhyperior,GroudonPrimal Groudon,GroudonPrimal Groudon,GroudonPrimal Groudon,Claydol,Dugtrio
Xerneas,Xerneas,Xerneas,Togekiss,Xerneas,Florges,Xerneas
LucarioMega Lucario,Hariyama,LucarioMega Lucario,Hitmontop,LucarioMega Lucario,Hitmonlee,Hawlucha
MewtwoMega Mewtwo X,Wobbuffet,MewtwoMega Mewtwo X,DeoxysDefense Forme,MewtwoMega Mewtwo Y,DeoxysDefense Forme,DeoxysSpeed Forme
TyranitarMega Tyranitar,Aurorus,Rampardos,Regirock,DiancieMega Diancie,Probopass,AerodactylMega Aerodactyl
GiratinaAltered Forme,Drifblim,BanetteMega Banette,Cofagrigus,GengarMega Gengar,Dusknoir,GengarMega Gengar
Articuno,Walrein,Mamoswine,Avalugg,Glaceon,Regice,Froslass
RayquazaMega Rayquaza,Kyurem,RayquazaMega Rayquaza,SalamenceMega Salamence,RayquazaMega Rayquaza,LatiasMega Latias,SalamenceMega Salamence
Yveltal,Yveltal,AbsolMega Absol,SableyeMega Sableye,HoundoomMega Houndoom,Umbreon,Weavile
MetagrossMega Metagross,Jirachi,AegislashBlade Forme,SteelixMega Steelix,Dialga,Registeel,MetagrossMega Metagross
TornadusIncarnate Forme,Noivern,TornadusIncarnate Forme,TornadusTherian Forme,TornadusIncarnate Forme,TornadusTherian Forme,Noivern
